"transaction_id";"user_id";"datetime"
19;145;2021-06-11 11:48:11
21;30;2021-06-11 13:36:29
22;145;2021-06-11 13:44:46
27;38;2021-06-12 10:52:04
28;145;2021-06-12 10:54:03
30;143;2021-06-12 11:10:59
32;308;2021-06-12 11:13:52
34;190;2021-06-12 11:20:21
36;617;2021-06-12 11:20:36
37;308;2021-06-12 11:21:05
39;618;2021-06-12 11:21:51
41;191;2021-06-12 11:24:06
43;145;2021-06-12 11:27:41
45;9;2021-06-12 11:29:36
47;68;2021-06-12 11:34:13
49;150;2021-06-12 11:35:07
51;245;2021-06-12 11:39:10
53;462;2021-06-12 11:39:55
55;9;2021-06-12 11:41:04
57;618;2021-06-12 11:46:30
59;423;2021-06-12 11:47:59
60;308;2021-06-12 11:53:18
62;617;2021-06-12 11:56:06
64;190;2021-06-12 11:57:16
66;194;2021-06-12 12:05:32
68;624;2021-06-12 12:06:19
70;623;2021-06-12 12:07:18
72;423;2021-06-12 12:08:14
74;191;2021-06-12 12:09:28
76;245;2021-06-12 12:11:16
78;194;2021-06-12 12:11:48
80;622;2021-06-12 12:12:53
82;150;2021-06-12 12:15:10
84;16;2021-06-12 12:18:57
86;191;2021-06-12 12:20:02
88;308;2021-06-12 12:20:54
90;143;2021-06-12 12:23:14
92;395;2021-06-12 12:23:47
94;395;2021-06-12 12:24:11
96;293;2021-06-12 12:26:20
98;293;2021-06-12 12:32:42
100;625;2021-06-12 12:35:43
102;617;2021-06-12 12:37:43
104;604;2021-06-12 12:38:26
106;308;2021-06-12 12:43:26
108;462;2021-06-12 12:44:09
110;68;2021-06-12 12:46:06
112;626;2021-06-12 12:50:08
114;395;2021-06-12 12:51:09
116;627;2021-06-12 12:55:12
118;624;2021-06-12 12:56:12
120;623;2021-06-12 12:57:14
122;423;2021-06-12 12:58:25
124;308;2021-06-12 13:06:30
126;228;2021-06-12 13:12:54
128;617;2021-06-12 13:13:56
130;618;2021-06-12 13:15:27
133;143;2021-06-12 13:21:04
135;629;2021-06-12 13:22:00
137;628;2021-06-12 13:22:55
139;150;2021-06-12 13:23:17
141;630;2021-06-12 13:25:29
143;631;2021-06-12 13:25:52
144;195;2021-06-12 13:26:29
146;633;2021-06-12 13:27:01
148;632;2021-06-12 13:27:53
150;245;2021-06-12 13:29:26
152;190;2021-06-12 13:30:29
154;194;2021-06-12 13:31:20
155;422;2021-06-12 13:32:45
157;308;2021-06-12 13:33:05
159;191;2021-06-12 13:35:53
161;635;2021-06-12 13:37:32
163;633;2021-06-12 13:44:00
165;632;2021-06-12 13:44:41
167;604;2021-06-12 13:47:27
169;617;2021-06-12 13:49:43
171;636;2021-06-12 13:50:12
173;637;2021-06-12 13:51:23
175;622;2021-06-12 13:51:44
177;30;2021-06-12 13:53:00
179;640;2021-06-12 14:00:06
181;639;2021-06-12 14:01:18
183;641;2021-06-12 14:01:53
185;638;2021-06-12 14:03:19
186;38;2021-06-12 14:03:58
188;623;2021-06-12 14:04:26
190;633;2021-06-12 14:09:09
192;645;2021-06-12 14:11:35
194;293;2021-06-12 14:12:26
391;308;2021-06-12 16:11:02
196;245;2021-06-12 14:13:30
198;647;2021-06-12 14:14:14
200;648;2021-06-12 14:14:32
202;150;2021-06-12 14:15:28
204;94;2021-06-12 14:16:12
206;624;2021-06-12 14:17:00
208;308;2021-06-12 14:18:39
210;632;2021-06-12 14:19:52
212;649;2021-06-12 14:21:04
214;650;2021-06-12 14:21:38
216;26;2021-06-12 14:22:33
218;9;2021-06-12 14:22:49
220;38;2021-06-12 14:24:48
222;9;2021-06-12 14:25:20
224;635;2021-06-12 14:26:14
225;38;2021-06-12 14:26:33
227;485;2021-06-12 14:27:41
